iter	RMSE
0	1.538083986
1	1.525255577
2	1.513102953
3	1.501496409
4	1.491400624
5	1.479812986
6	1.469714495
7	1.459743017
8	1.449453885
9	1.436946394
10	1.429288351
11	1.419993309
12	1.41170114
13	1.40226181
14	1.392093769
15	1.384473476
16	1.377030062
17	1.371534946
18	1.364647848
19	1.357230707
20	1.34786822
21	1.340674536
22	1.33482332
23	1.328299632
24	1.322373958
25	1.315788706
26	1.310508102
27	1.304989416
28	1.299172176
29	1.294884942
30	1.290451197
31	1.285712845
32	1.278286502
33	1.27242295
34	1.266575396
35	1.262104675
36	1.256523534
37	1.252648704
38	1.249050233
39	1.244136287
40	1.239118949
41	1.234513874
42	1.230655762
43	1.227267801
44	1.221812863
45	1.218373658
46	1.212013257
47	1.207713964
48	1.202423487
49	1.197892373
50	1.194798847
51	1.189257654
52	1.185214088
53	1.180121752
54	1.176353829
55	1.173179411
56	1.170434312
57	1.167514119
58	1.16331249
59	1.161235522
60	1.156524116
61	1.152483981
62	1.148902571
63	1.146065033
64	1.142974938
65	1.139810326
66	1.137396272
67	1.135029478
68	1.132776094
69	1.129036016
70	1.125872404
71	1.124239201
72	1.121352691
73	1.1193012
74	1.115932817
75	1.112541653
76	1.110598045
77	1.107845366
78	1.104981121
79	1.103308761
80	1.101534309
81	1.098855878
82	1.096302181
83	1.093952303
84	1.092045907
85	1.090019852
86	1.087927737
87	1.085299258
88	1.082531877
89	1.080130829
90	1.077312908
91	1.075298223
92	1.073013447
93	1.070428688
94	1.067377826
95	1.065113171
96	1.062992546
97	1.060627549
98	1.058622963
99	1.056679844
100	1.055335713
101	1.053312978
102	1.051544871
103	1.049967513
104	1.047594186
105	1.045814297
106	1.042550507
107	1.041244167
108	1.039205188
109	1.036704851
110	1.034717015
111	1.033620561
112	1.031583748
113	1.029883009
114	1.028013515
115	1.026740092
116	1.025379392
117	1.023875436
118	1.022636049
119	1.020582295
120	1.019376528
121	1.016833367
122	1.015028493
123	1.01335101
124	1.011628857
125	1.009646604
126	1.007708879
127	1.006569137
128	1.004064617
129	1.00197757
130	1.000172604
131	0.9981227943
132	0.9964106111
133	0.9947124865
134	0.9931329785
135	0.9909995851
136	0.9891603338
137	0.9879696546
138	0.986402737
139	0.9844810328
140	0.9829690463
141	0.9815722206
142	0.9804333807
143	0.9781581248
144	0.97599845
145	0.9745140276
146	0.9735116379
147	0.9719887764
148	0.9696930359
149	0.9679133244
150	0.9661596369
151	0.9646562403
152	0.9636158041
153	0.9622593608
154	0.9599659965
155	0.9584095909
156	0.9564724907
157	0.9552772472
158	0.9540513007
159	0.9530555276
160	0.9517634158
161	0.9504682552
162	0.9493913562
163	0.9481703983
164	0.9470998884
165	0.9457001578
166	0.9449206074
167	0.9434606759
168	0.9425162392
169	0.9411152927
170	0.9392949655
171	0.93776076
172	0.935837654
173	0.9344523967
174	0.9331006608
175	0.9319024344
176	0.9307979682
177	0.9292216953
178	0.9283103447
179	0.9270815988
180	0.9254977966
181	0.9233195148
182	0.9215614003
183	0.9192494292
184	0.9173681348
185	0.9164468509
186	0.9150138096
187	0.9139314855
188	0.9123229394
189	0.9114075475
190	0.9096586847
191	0.9081452149
192	0.9069435382
193	0.9051633469
194	0.9033758109
195	0.9021272928
196	0.9010451301
197	0.8995542806
198	0.8982144354
199	0.896868729
200	0.8953954654
201	0.8940627076
202	0.8933121856
203	0.8917581134
204	0.8903540206
205	0.8889529945
206	0.8875219649
207	0.8865718636
208	0.8843517285
209	0.8833159412
210	0.8819038798
211	0.8811628554
212	0.8793263072
213	0.8780673577
214	0.8769246333
215	0.8755518997
216	0.8744407775
217	0.872575916
218	0.8710271738
219	0.8696248878
220	0.8687077333
221	0.8675020915
222	0.8660904681
223	0.8650849422
224	0.8635689014
225	0.8624466151
226	0.8612806006
227	0.8602244001
228	0.8590292781
229	0.8581426354
230	0.8572252979
231	0.8560871676
232	0.8547635719
233	0.8534473394
234	0.8527400616
235	0.8510862083
236	0.8504532797
237	0.8493398347
238	0.8484886633
239	0.8472419015
240	0.8461842529
241	0.8447726389
242	0.8442400272
243	0.8428930534
244	0.8415474047
245	0.8403616255
246	0.8386263669
247	0.8371358629
248	0.8359300395
249	0.8347916091
250	0.8331410504
251	0.832086264
252	0.8309043459
253	0.8296361538
