iter	Passed	Remaining
0	313	313245
1	407	203377
2	475	157981
3	535	133310
4	600	119454
5	663	109921
6	731	103801
7	791	98095
8	859	94667
9	934	92507
10	992	89203
11	1052	86685
12	1118	84901
13	1174	82717
14	1236	81214
15	1299	79890
16	1362	78808
17	1419	77416
18	1481	76475
19	1545	75708
20	1604	74812
21	1666	74091
22	1730	73511
23	1808	73530
24	1864	72704
25	1928	72231
26	1986	71571
27	2046	71057
28	2110	70671
29	2183	70596
30	2241	70061
31	2302	69660
32	2362	69213
33	2424	68894
34	2479	68351
35	2538	67971
36	2604	67781
37	2679	67838
38	2731	67315
39	2787	66889
40	2854	66759
41	2921	66642
42	2979	66317
43	3042	66114
44	3115	66120
45	3179	65933
46	3238	65661
47	3293	65322
48	3363	65284
49	3434	65260
50	3502	65171
51	3563	64968
52	3629	64851
53	3695	64746
54	3760	64611
55	3820	64397
56	3887	64310
57	3957	64280
58	4025	64205
59	4098	64208
60	4168	64168
61	4245	64228
62	4314	64169
63	4391	64222
64	4460	64159
65	4520	63971
66	4585	63851
67	4648	63717
68	4712	63587
69	4778	63486
70	4850	63460
71	4911	63306
72	4973	63156
73	5037	63036
74	5110	63023
75	5170	62867
76	5234	62748
77	5302	62681
78	5368	62588
79	5434	62494
80	5492	62319
81	5553	62176
82	5619	62083
83	5690	62056
84	5753	61932
85	5815	61802
86	5878	61686
87	5944	61603
88	6007	61497
89	6072	61395
90	6141	61347
91	6213	61326
92	6275	61203
93	6341	61118
94	6402	60995
95	6468	60907
96	6531	60802
97	6605	60801
98	6668	60692
99	6735	60618
100	6805	60574
101	6872	60502
102	6936	60409
103	7000	60314
104	7065	60227
105	7122	60072
106	7187	59987
107	7252	59896
108	7317	59816
109	7379	59709
110	7446	59635
111	7526	59677
112	7584	59535
113	7648	59441
114	7716	59385
115	7779	59286
116	7845	59209
117	7920	59205
118	7978	59068
119	8041	58967
120	8106	58890
121	8211	59095
122	8277	59020
123	8346	58965
124	8412	58887
125	8473	58779
126	8541	58712
127	8612	58669
128	8678	58593
129	8749	58552
130	8813	58462
131	8881	58403
132	8941	58291
133	9008	58221
134	9070	58115
135	9132	58017
136	9196	57933
137	9270	57908
138	9334	57819
139	9402	57755
140	9466	57673
141	9526	57558
142	9590	57476
143	9670	57487
144	9728	57365
145	9796	57302
146	9862	57227
147	9931	57173
148	9991	57066
149	10063	57024
150	10130	56959
151	10195	56880
152	10263	56817
153	10326	56726
154	10390	56644
155	10458	56583
156	10529	56539
157	10594	56460
158	10658	56375
159	10724	56304
160	10789	56226
161	10851	56131
162	10925	56102
163	10996	56053
164	11059	55967
165	11120	55871
166	11185	55793
167	11249	55709
168	11319	55658
169	11396	55644
170	11458	55551
171	11527	55493
172	11591	55412
173	11663	55368
174	11728	55293
175	11801	55250
176	11864	55165
177	11930	55093
178	11994	55013
179	12057	54928
180	12118	54834
181	12199	54829
182	12258	54729
183	12320	54637
184	12400	54628
185	12472	54583
186	12542	54528
187	12624	54526
188	12699	54493
189	12761	54402
190	12827	54330
191	12891	54253
192	12958	54185
193	13029	54133
194	13096	54066
195	13158	53974
196	13222	53896
197	13283	53805
198	13346	53720
199	13406	53624
200	13473	53558
201	13550	53529
202	13605	53417
203	13672	53348
204	13735	53268
205	13800	53191
206	13863	53110
207	13933	53053
208	14004	53000
209	14066	52917
210	14133	52850
211	14199	52778
212	14266	52710
213	14325	52616
214	14402	52585
215	14462	52494
216	14529	52425
217	14588	52331
218	14659	52277
219	14728	52218
220	14794	52149
221	14874	52126
222	14931	52024
223	14995	51950
224	15062	51881
225	15126	51803
226	15190	51727
227	15253	51648
228	15329	51612
229	15389	51520
230	15453	51445
231	15517	51368
232	15584	51301
233	15645	51214
234	15729	51205
235	15789	51113
236	15852	51036
237	15915	50955
238	15978	50876
239	16035	50780
240	16103	50716
241	16175	50665
242	16241	50596
243	16307	50526
244	16369	50444
245	16432	50365
246	16499	50300
247	16562	50220
248	16639	50184
249	16711	50134
250	16775	50057
251	16830	49958
252	16895	49884
253	16975	49855
254	17042	49789
255	17101	49700
256	17169	49638
257	17234	49567
258	17293	49477
259	17355	49396
260	17424	49334
261	17539	49406
262	17601	49323
263	17658	49229
264	17726	49164
265	17795	49105
266	17859	49030
267	17931	48975
268	17991	48891
269	18061	48831
270	18122	48749
271	18186	48676
272	18248	48596
273	18333	48577
274	18391	48487
275	18458	48420
276	18518	48336
277	18575	48243
278	18644	48180
279	18715	48126
280	18788	48073
281	18854	48004
282	18914	47921
283	18971	47830
284	19038	47762
285	19106	47699
286	19173	47633
287	19235	47555
288	19300	47483
289	19362	47404
290	19432	47344
291	19492	47261
292	19555	47187
293	19634	47150
294	19701	47083
295	19771	47023
296	19831	46940
297	19897	46872
298	19960	46796
299	20024	46724
300	20090	46655
301	20155	46584
302	20216	46505
303	20277	46424
304	20349	46370
305	20427	46329
306	20485	46243
307	20545	46160
308	20617	46104
309	20686	46044
310	20777	46031
311	20861	46002
312	20937	45955
313	21016	45915
314	21088	45859
315	21155	45792
316	21220	45721
317	21293	45666
318	21356	45592
319	21426	45532
320	21486	45448
321	21547	45371
322	21612	45298
323	21693	45260
324	21755	45183
325	21816	45104
326	21885	45042
327	21949	44969
328	22016	44902
329	22078	44825
330	22147	44763
331	22217	44702
332	22275	44617
333	22337	44540
334	22404	44474
335	22472	44410
336	22535	44335
337	22606	44277
338	22670	44203
339	22736	44135
340	22799	44061
341	22858	43978
342	22925	43912
343	22994	43850
344	23054	43770
345	23115	43692
346	23181	43624
347	23241	43544
348	23311	43483
349	23375	43412
350	23439	43340
351	23513	43285
352	23573	43207
353	23632	43126
354	23709	43078
355	23772	43004
356	23838	42936
357	23912	42881
358	23973	42805
359	24038	42735
360	24102	42663
361	24170	42599
362	24227	42515
363	24288	42438
364	24362	42383
365	24417	42296
366	24486	42234
367	24552	42166
368	24618	42098
369	24678	42020
370	24750	41962
371	24815	41893
372	24877	41817
373	24941	41746
374	25010	41684
375	25071	41608
376	25140	41544
377	25211	41485
378	25276	41416
379	25338	41341
380	25406	41277
381	25467	41200
382	25531	41129
383	25610	41082
384	25666	41000
385	25729	40928
386	25807	40877
387	25862	40792
388	25929	40727
389	25992	40655
390	26068	40603
391	26129	40527
392	26197	40462
393	26259	40388
394	26327	40324
395	26390	40251
396	26467	40201
397	26528	40126
398	26596	40061
399	26660	39990
400	26725	39921
401	26793	39856
402	26860	39790
403	26984	39808
404	27043	39730
405	27102	39653
406	27170	39587
407	27236	39519
408	27301	39450
409	27378	39398
410	27436	39319
411	27501	39249
412	27564	39177
413	27636	39118
414	27699	39045
415	27770	38985
416	27845	38930
417	27905	38853
418	27967	38781
419	28034	38714
420	28105	38652
421	28169	38582
422	28233	38511
423	28301	38447
424	28366	38378
425	28427	38304
426	28497	38240
427	28562	38172
428	28622	38096
429	28683	38022
430	28759	37968
431	28824	37898
432	28886	37825
433	28978	37791
434	29052	37734
435	29134	37688
436	29204	37625
437	29279	37568
438	29339	37493
439	29409	37429
440	29467	37352
441	29523	37271
442	29601	37219
443	29666	37150
444	29734	37084
445	29796	37011
446	29865	36948
447	29936	36886
448	30001	36817
449	30081	36765
450	30144	36694
451	30213	36630
452	30274	36556
453	30340	36488
454	30404	36418
455	30477	36359
456	30539	36286
457	30606	36219
458	30668	36147
459	30735	36080
460	30798	36009
461	30878	35958
462	30937	35882
463	31000	35811
464	31066	35742
465	31128	35671
466	31194	35602
467	31258	35533
468	31327	35469
469	31394	35401
470	31455	35329
471	31522	35262
472	31596	35203
473	31671	35145
474	31735	35076
475	31798	35004
476	31867	34940
477	31931	34871
478	31999	34805
479	32061	34733
480	32134	34673
481	32206	34612
482	32265	34537
483	32326	34464
484	32391	34394
485	32457	34327
486	32519	34255
487	32593	34196
488	32658	34127
489	32720	34055
490	32784	33986
491	32852	33921
492	32911	33846
493	32976	33777
494	33050	33717
495	33110	33644
496	33169	33569
497	33239	33506
498	33305	33438
499	33372	33372
500	33438	33304
501	33518	33251
502	33579	33179
503	33646	33112
504	33705	33038
505	33765	32964
506	33832	32897
507	33912	32844
508	33974	32773
509	34034	32700
510	34100	32632
511	34163	32561
512	34222	32487
513	34281	32414
514	34357	32355
515	34417	32282
516	34482	32215
517	34546	32145
518	34617	32083
519	34682	32014
520	34753	31951
521	34825	31890
522	34889	31821
523	34952	31750
524	35018	31682
525	35078	31610
526	35146	31545
527	35222	31486
528	35279	31411
529	35344	31343
530	35405	31271
531	35469	31202
532	35530	31130
533	35600	31067
534	35677	31009
535	35732	30932
536	35837	30899
537	35958	30878
538	36028	30815
539	36103	30754
540	36167	30685
541	36226	30611
542	36291	30543
543	36350	30470
544	36420	30405
545	36503	30352
546	36567	30283
547	36632	30214
548	36701	30149
549	36766	30081
550	36828	30011
551	36904	29951
552	36973	29886
553	37034	29815
554	37101	29748
555	37161	29675
556	37229	29609
557	37313	29556
558	37392	29499
559	37464	29436
560	37532	29370
561	37608	29310
562	37673	29241
563	37733	29169
564	37809	29110
565	37877	29043
566	37937	28972
567	37996	28898
568	38061	28830
569	38124	28760
570	38196	28697
571	38265	28632
572	38322	28557
573	38382	28486
574	38448	28418
575	38514	28350
576	38578	28282
577	38652	28220
578	38720	28154
579	38784	28085
580	38849	28017
581	38917	27950
582	38976	27878
583	39042	27810
584	39109	27744
585	39180	27680
586	39242	27609
587	39302	27538
588	39368	27470
589	39429	27400
590	39505	27339
591	39578	27277
592	39640	27207
593	39708	27140
594	39770	27070
595	39831	26999
596	39914	26944
597	39979	26875
598	40045	26808
599	40116	26744
600	40179	26674
601	40236	26601
602	40303	26534
603	40383	26476
604	40443	26405
605	40518	26343
606	40575	26270
607	40631	26196
608	40695	26128
609	40769	26065
610	40844	26004
611	40914	25939
612	40972	25866
613	41031	25795
614	41095	25726
615	41158	25656
616	41230	25593
617	41296	25526
618	41361	25458
619	41429	25392
620	41492	25323
621	41562	25258
622	41626	25189
623	41703	25129
624	41765	25059
625	41825	24988
626	41890	24920
627	41960	24855
628	42023	24786
629	42090	24719
630	42158	24653
631	42222	24585
632	42283	24514
633	42342	24443
634	42407	24375
635	42466	24304
636	42542	24243
637	42601	24171
638	42674	24108
639	42737	24039
640	42801	23971
641	42864	23902
642	42937	23839
643	43012	23777
644	43077	23709
645	43142	23641
646	43202	23571
647	43266	23502
648	43328	23433
649	43396	23367
650	43461	23299
651	43527	23232
652	43594	23165
653	43655	23096
654	43721	23028
655	43779	22957
656	43851	22893
657	43912	22823
658	43982	22759
659	44045	22690
660	44110	22622
661	44171	22552
662	44246	22490
663	44320	22427
664	44382	22358
665	44446	22289
666	44511	22222
667	44574	22153
668	44635	22084
669	44692	22012
670	44770	21951
671	44833	21883
672	44898	21815
673	44966	21749
674	45028	21680
675	45086	21609
676	45160	21546
677	45229	21480
